Mortes no trânsito,,,Homicídio juvenil,,OR,Homicídios,,,Arborização viária,,,Mortalidade por doenças do aparelho respiratório,,,Remuneração média do emprego formal,,,Favelas (% living in favelas),,,Demanda atendida em creches,,,Gravidez na adolescência,,,Idade média ao morrer,,,Empregos formais por habitante,,,Population change,,,Jobs in the past,
Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor
Consolação,0,,Consolação,0,,Consolação,1.73,,Consolação,4894,,Consolação,10.04,,Consolação,3062.11,,Consolação,0,,Consolação,83,,Consolação,2.76,,Consolação,78.9,,Consolação,1.6,,Consolação,0.943760710391027,,Consolação,1.5690387337537
Cursino,3.62,,Cursino,45.61,,Cursino,8.14,,Cursino,7363,,Cursino,11.72,,Cursino,2197.4,,Cursino,6.98,,Cursino,79.45,,Cursino,8.26,,Cursino,72,,Cursino,0.158,,Cursino,0.920674572755557,,Cursino,1.51761667589006
Ermelino Matarazzo,10.44,,Ermelino Matarazzo,38.65,,Ermelino Matarazzo,13.05,,Ermelino Matarazzo,6049,,Ermelino Matarazzo,9.12,,Ermelino Matarazzo,1831.38,,Ermelino Matarazzo,9.38,,Ermelino Matarazzo,91.34,,Ermelino Matarazzo,11.52,,Ermelino Matarazzo,63.7,,Ermelino Matarazzo,0.032,,Ermelino Matarazzo,0.92778366361568,,Ermelino Matarazzo,2.7679012345679
Freguesia do Ó,15.18,,Freguesia do Ó,35.16,,Freguesia do Ó,8.67,,Freguesia do Ó,6799,,Freguesia do Ó,11.56,,Freguesia do Ó,2087.33,,Freguesia do Ó,4.13,,Freguesia do Ó,85.54,,Freguesia do Ó,10.68,,Freguesia do Ó,67.5,,Freguesia do Ó,0.228,,Freguesia do Ó,1.05376320630558,,Freguesia do Ó,2.09838958746967
Grajaú,11.95,,Grajaú,47.32,,Grajaú,14.4,,Grajaú,10126,,Grajaú,7.23,,Grajaú,1852.28,,Grajaú,17.25,,Grajaú,73.11,,Grajaú,15.42,,Grajaú,58.2,,Grajaú,0.07,,Grajaú,0.902402719365193,,Grajaú,2.34809634809635
Guaianases,13.36,,Guaianases,74.59,,Guaianases,14.31,,Guaianases,3385,,Guaianases,7.34,,Guaianases,1502.85,,Guaianases,3.47,,Guaianases,98.6,,Guaianases,16.81,,Guaianases,58.9,,Guaianases,0.02,,Guaianases,0.939239999618761,,Guaianases,3.06133828996282
Iguatemi,9.27,,Iguatemi,40.04,,Iguatemi,11.41,,Iguatemi,4910,,Iguatemi,6.16,,Iguatemi,2002.58,,Iguatemi,11.34,,Iguatemi,82.95,,Iguatemi,14.62,,Iguatemi,58.4,,Iguatemi,0.079,,Iguatemi,0.712430790337596,,Iguatemi,0.00328410372040586
Ipiranga,8.26,,Ipiranga,61.7,,Ipiranga,10.09,,Ipiranga,10508,,Ipiranga,8.32,,Ipiranga,2327.38,,Ipiranga,3.66,,Ipiranga,90.32,,Ipiranga,9.59,,Ipiranga,72.5,,Ipiranga,0.528,,Ipiranga,0.903857230364147,,Ipiranga,1.69455311465543
Itaim Bibi,6.2,,Itaim Bibi,0,,Itaim Bibi,2.07,,Itaim Bibi,13750,,Itaim Bibi,10.75,,Itaim Bibi,5795.33,,Itaim Bibi,0.828,,Itaim Bibi,70.68,,Itaim Bibi,1.27,,Itaim Bibi,78.6,,Itaim Bibi,3.39,,Itaim Bibi,0.834273892069605,,Itaim Bibi,2.24032714690154
Itaim Paulista,10.2,,Itaim Paulista,66.09,,Itaim Paulista,17.73,,Itaim Paulista,5552,,Itaim Paulista,8.28,,Itaim Paulista,2520.7,,Itaim Paulista,6.96,,Itaim Paulista,96.16,,Itaim Paulista,16.15,,Itaim Paulista,61.8,,Itaim Paulista,0.182,,Itaim Paulista,0.94208848146672,,Itaim Paulista,2.7491789819376
Itaquera,9.87,,Itaquera,48.99,,Itaquera,13.32,,Itaquera,9568,,Itaquera,9.85,,Itaquera,2253.9,,Itaquera,3.72,,Itaquera,93.25,,Itaquera,11.75,,Itaquera,64.9,,Itaquera,0.263,,Itaquera,0.997001751452122,,Itaquera,2.09438470728793
Jabaquara,7.57,,Jabaquara,56.54,,Jabaquara,12.03,,Jabaquara,8722,,Jabaquara,9.36,,Jabaquara,3094.49,,Jabaquara,16.97,,Jabaquara,77.28,,Jabaquara,11.75,,Jabaquara,68.3,,Jabaquara,0.329,,Jabaquara,0.953758770464417,,Jabaquara,1.73426664922151
Jaçanã,10.61,,Jaçanã,32.73,,Jaçanã,12.74,,Jaçanã,3769,,Jaçanã,10.73,,Jaçanã,2043.27,,Jaçanã,7.68,,Jaçanã,68.87,,Jaçanã,15,,Jaçanã,66.2,,Jaçanã,0.237,,Jaçanã,0.975674297009501,,Jaçanã,2.09830633284241
Jaguara,4.16,,Jaguara,70.5,,Jaguara,12.48,,Jaguara,1897,,Jaguara,8.8,,Jaguara,4256.21,,Jaguara,2.73,,Jaguara,72.44,,Jaguara,8.77,,Jaguara,73.6,,Jaguara,0.887,,Jaguara,1.07806800553436,,Jaguara,2.87368881118881
Jaguaré,15.1,,Jaguaré,0,,Jaguaré,1.89,,Jaguaré,2935,,Jaguaré,4.66,,Jaguaré,3327.01,,Jaguaré,9.3,,Jaguaré,87.91,,Jaguaré,11.57,,Jaguaré,66.2,,Jaguaré,0.597,,Jaguaré,0.792163956437416,,Jaguaré,2.125
Jaraguá,9.8,,Jaraguá,25.09,,Jaraguá,10.78,,Jaraguá,8567,,Jaraguá,7.5,,Jaraguá,2783.4,,Jaraguá,24.29,,Jaraguá,88.2,,Jaraguá,14.87,,Jaraguá,60.2,,Jaraguá,0.143,,Jaraguá,0.701260249742855,,Jaraguá,2.76943881000676
Jardim Ângela,6.92,,Jardim Ângela,74.09,,Jardim Ângela,19.83,,Jardim Ângela,6366,,Jardim Ângela,4.75,,Jardim Ângela,1889.36,,Jardim Ângela,19.43,,Jardim Ângela,62.1,,Jardim Ângela,16.44,,Jardim Ângela,55.7,,Jardim Ângela,0.05,,Jardim Ângela,0.762765511784146,,Jardim Ângela,3.78846153846154
Jardim Helena,9.96,,Jardim Helena,43.56,,Jardim Helena,14.56,,Jardim Helena,4699,,Jardim Helena,10.73,,Jardim Helena,1540.72,,Jardim Helena,13.72,,Jardim Helena,90.87,,Jardim Helena,16.04,,Jardim Helena,61.1,,Jardim Helena,0.034,,Jardim Helena,1.07344815878013,,Jardim Helena,0.00264345991561181
Jardim Paulista,6.7,,Jardim Paulista,0,,Jardim Paulista,2.23,,Jardim Paulista,9666,,Jardim Paulista,9.25,,Jardim Paulista,3777.08,,Jardim Paulista,0,,Jardim Paulista,82.54,,Jardim Paulista,1.12,,Jardim Paulista,79.4,,Jardim Paulista,2.48,,Jardim Paulista,0.932513764739975,,Jardim Paulista,1.34300869308973
